idSport;Session;date;debut;details;fin;idLieu
5;BKB32;07/08/2024;11:00;Femmes, quart de finale;13:00;1
5;BKB33;07/08/2024;14:30:00;Femmes, quart de finale;16:30:00;1
5;BKB34;07/08/2024;18:00;Femmes, quart de finale;20:00;1
5;BKB35;07/08/2024;21:30:00;Femmes, quart de finale;23:30:00;1
5;BKB36;08/08/2024;17:30:00;Hommes, demi-finale;19:30:00;1
5;BKB37;08/08/2024;21:00;Hommes, demi-finale;23:00;1
5;BKB38;09/08/2024;17:30:00;Femmes, demi-finale;19:30:00;1
5;BKB39;09/08/2024;21:00;Femmes, demi-finale;23:00;1
5;BKB40;10/08/2024;11:00;Hommes, match pour la médaille de bronze;13:00;1
5;BKB41;10/08/2024;21:30:00;Hommes, match pour la médaille d'or;00:00;1
5;BKB42;11/08/2024;11:30:00;Femmes, match pour la médaille de bronze;13:30:00;1
5;BKB43;11/08/2024;15:30:00;Femmes, match pour la médaille d'or;18:00;1
6;BK301;30/07/2024;17:30:00;"Femmes, matches de poule (2 matchs)
Hommes, matches de poule (2 matchs)";19:30:00;10
6;BK302;30/07/2024;21:00;"Femmes, matches de poule (2 matchs)
Hommes, matches de poule (2 matchs)";23:00;10
6;BK303;31/07/2024;17:30:00;"Femmes, matches de poule (2 matchs)
Hommes, matches de poule (2 matchs)";19:30:00;10
6;BK304;31/07/2024;21:00;"Femmes, matches de poule (2 matchs)
Hommes, matches de poule (2 matchs)";23:00;10
6;BK305;31/07/2024;09:00;"Femmes, matches de poule (2 matchs)
Hommes, matches de poule (2 matchs)";11:00;10
6;BK306;31/07/2024;12:30:00;"Femmes, matches de poule (2 matchs)
Hommes, matches de poule (2 matchs)";14:30:00;10
6;BK307;31/07/2024;18:00;"Femmes, matches de poule (2 matchs)
Hommes, matches de poule (2 matchs)";20:00;10
6;BK308;31/07/2024;21:30:00;"Femmes, matches de poule (2 matchs)
Hommes, matches de poule (2 matchs)";23:30:00;10
6;BK309;31/07/2024;09:00;"Femmes, matches de poule (2 matchs)
Hommes, matches de poule (2 matchs)";11:00;10
